2025-12-03 08:03:25,828 - left_url=https://indiankanoon.org/doc/43305044/ | right_url=https://indiankanoon.org/doc/120700142/ | left_id=43305044 | right_id=120700142
2025-12-03 08:29:27,516 - left_url=https://indiankanoon.org/doc/192177197/ | right_url=https://indiankanoon.org/doc/94245508/ | left_id=192177197 | right_id=94245508
2025-12-03 08:30:12,890 - left_url=https://indiankanoon.org/doc/192177197/ | right_url=https://indiankanoon.org/doc/30498227/ | left_id=192177197 | right_id=30498227
2025-12-03 08:50:42,860 - left_url=https://indiankanoon.org/doc/192177197/ | right_url=https://indiankanoon.org/doc/94245508/ | left_id=192177197 | right_id=94245508
2025-12-03 09:01:20,452 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:07:06,345 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:12:56,903 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:24:49,517 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:24:50,756 - left_len=23172 | right_len=23172 | left_head=Richa Singh & Anr. vs J.J. Clinic & Nursing Home & Anr. on 30 April, 2024 Share Link Mobile View Free features Premium features Case removal Warning on translat | right_head=J.J. Clinic & Nursing Home & Anr. vs Kumari Richa Singh on 30 April, 2024 Share Link Mobile View Free features Premium features Case removal Warning on translat
2025-12-03 09:46:40,645 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:46:42,332 - left_len=22950 | right_len=22950 | left_head=Richa Singh & Anr. vs J.J. Clinic & Nursing Home & Anr. on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci | right_head=J.J. Clinic & Nursing Home & Anr. vs Kumari Richa Singh on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci
2025-12-03 09:47:48,142 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:47:50,226 - left_len=22950 | right_len=22950 | left_head=Richa Singh & Anr. vs J.J. Clinic & Nursing Home & Anr. on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci | right_head=J.J. Clinic & Nursing Home & Anr. vs Kumari Richa Singh on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci
2025-12-03 09:52:15,258 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:52:17,093 - left_len=22950 | right_len=22950 | left_head=Richa Singh & Anr. vs J.J. Clinic & Nursing Home & Anr. on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci | right_head=J.J. Clinic & Nursing Home & Anr. vs Kumari Richa Singh on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci
2025-12-03 09:52:17,181 - left_url=https://indiankanoon.org/doc/7614885/ | right_url=https://indiankanoon.org/doc/43305044/ | left_id=7614885 | right_id=43305044
2025-12-03 09:52:19,091 - left_len=120000 | right_len=29667 | left_head=X Corp vs Union Of India on 24 September, 2025 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 189 , Cited by 0 ] Take notes as y | right_head=Aishwarya Rai Bachchan vs Aishwaryaworld.Com & Ors on 9 September, 2025 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 7 , Cited
2025-12-03 09:52:19,124 - left_url=https://indiankanoon.org/doc/76449328/ | right_url=https://indiankanoon.org/doc/94245508/ | left_id=76449328 | right_id=94245508
2025-12-03 09:52:20,770 - left_len=120000 | right_len=36300 | left_head=Kunal Kamra vs Union Of India on 31 January, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 79 , Cited by 0 ] Take notes as | right_head=Gaurav Bhatia vs Naveen Kumar & Ors. on 16 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 16 , Cited by 0 ] Take not
2025-12-03 09:53:05,358 - left_url=https://indiankanoon.org/doc/142437277/ | right_url=https://indiankanoon.org/doc/173128227/ | left_id=142437277 | right_id=173128227
2025-12-03 09:53:06,784 - left_len=22950 | right_len=22950 | left_head=Richa Singh & Anr. vs J.J. Clinic & Nursing Home & Anr. on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci | right_head=J.J. Clinic & Nursing Home & Anr. vs Kumari Richa Singh on 30 April, 2024 Get this document in PDF Print it on a file/printer Download Court Copy [Cites 12 , Ci
